o_que_aconteceu,tematica,fonte_status,fonte_veiculo,fonte_data,fonte_titulo,fonte_url
"Respeitar as diversidades de gênero e orientação é reconhecer o direito de cada pessoa de ser quem é, com dignidade e sem violência. A escola e a cultura são espaços para aprender a conviver com a diferença.","diversidade floresce, o respeito engrandece",fonte a definir,,,,
"Pessoas com deficiência têm direito a acessibilidade, educação e participação plena. Rampas, Braille, Libras e tecnologias assistivas não são favor: são direitos que tornam a sociedade mais justa para todos.","rampa e respeito, direito perfeito",fonte a definir,,,,
"Pessoas com deficiência têm direito a acessibilidade, educação e participação plena. Rampas, Braille, Libras e tecnologias assistivas não são favor: são direitos que tornam a sociedade mais justa para todos.","braile e libras, vozes que vibram",fonte a definir,,,,
"Pessoas com deficiência têm direito a acessibilidade, educação e participação plena. Rampas, Braille, Libras e tecnologias assistivas não são favor: são direitos que tornam a sociedade mais justa para todos.","incluir é avançar, todo mundo a brilhar",fonte a definir,,,,
"Os povos indígenas guardam línguas, saberes e a própria floresta há milênios. A demarcação de terras e o respeito às suas culturas são fundamentais para o Brasil e para o equilíbrio do planeta.","cocar e raiz, o Brasil que se diz",fonte a definir,,,,
"Os povos indígenas guardam línguas, saberes e a própria floresta há milênios. A demarcação de terras e o respeito às suas culturas são fundamentais para o Brasil e para o equilíbrio do planeta.","indígena resiste, floresta que insiste",fonte a definir,,,,
"Os povos indígenas guardam línguas, saberes e a própria floresta há milênios. A demarcação de terras e o respeito às suas culturas são fundamentais para o Brasil e para o equilíbrio do planeta.","demarcação é vida, terra protegida",fonte a definir,,,,
"Cuidar da saúde mental é tão importante quanto a do corpo. Falar sobre ansiedade e tristeza, buscar apoio e acolher quem sofre são atitudes de coragem, especialmente entre os jovens.","falar alivia, a mente respira",fonte a definir,,,,
"Cuidar da saúde mental é tão importante quanto a do corpo. Falar sobre ansiedade e tristeza, buscar apoio e acolher quem sofre são atitudes de coragem, especialmente entre os jovens.","tristeza tem cura, conversa segura",fonte a definir,,,,
"Cuidar da saúde mental é tão importante quanto a do corpo. Falar sobre ansiedade e tristeza, buscar apoio e acolher quem sofre são atitudes de coragem, especialmente entre os jovens.","pedir ajuda é força, a vida reforça",fonte a definir,,,,
"A Amazônia é a maior floresta tropical do mundo e essencial para o clima do planeta. Povos da floresta, ribeirinhos e cientistas trabalham para conter o desmatamento e manter a floresta de pé.","floresta de pé, futuro em você",fonte a definir,,,,
"A Amazônia é a maior floresta tropical do mundo e essencial para o clima do planeta. Povos da floresta, ribeirinhos e cientistas trabalham para conter o desmatamento e manter a floresta de pé.","rio e castanheira, vida verdadeira",fonte a definir,,,,
"A Amazônia é a maior floresta tropical do mundo e essencial para o clima do planeta. Povos da floresta, ribeirinhos e cientistas trabalham para conter o desmatamento e manter a floresta de pé.","guardião da mata, defesa que arrebata",fonte a definir,,,,
"As mudanças climáticas provocam secas, enchentes e calor extremo. Jovens do mundo inteiro cobram ações urgentes dos governos para garantir um futuro habitável.","clima em alerta, juventude desperta",fonte a definir,,,,
"As mudanças climáticas provocam secas, enchentes e calor extremo. Jovens do mundo inteiro cobram ações urgentes dos governos para garantir um futuro habitável.","planeta com febre, geração que se ergue",fonte a definir,,,,
"As mudanças climáticas provocam secas, enchentes e calor extremo. Jovens do mundo inteiro cobram ações urgentes dos governos para garantir um futuro habitável.","menos fumaça, mais esperança",fonte a definir,,,,
"Catadores e catadoras de materiais recicláveis são protagonistas da economia circular. Reciclar gera renda, reduz o lixo e cuida do meio ambiente: um trabalho que merece reconhecimento e dignidade.","do lixo ao luxo, trabalho sem refluxo",fonte a definir,,,,
"Catadores e catadoras de materiais recicláveis são protagonistas da economia circular. Reciclar gera renda, reduz o lixo e cuida do meio ambiente: um trabalho que merece reconhecimento e dignidade.","reciclar é cuidar, catador a brilhar",fonte a definir,,,,
"Catadores e catadoras de materiais recicláveis são protagonistas da economia circular. Reciclar gera renda, reduz o lixo e cuida do meio ambiente: um trabalho que merece reconhecimento e dignidade.","garrafa virou renda, história que remenda",fonte a definir,,,,
"A água doce é um recurso limitado e cada vez mais disputado no mundo. Economizar, despoluir rios e garantir água potável a todos são desafios centrais do nosso século.","gota que pinga, vida que se aninha",fonte a definir,,,,
"A água doce é um recurso limitado e cada vez mais disputado no mundo. Economizar, despoluir rios e garantir água potável a todos são desafios centrais do nosso século.","rio limpo, povo vivo",fonte a definir,,,,
"A água doce é um recurso limitado e cada vez mais disputado no mundo. Economizar, despoluir rios e garantir água potável a todos são desafios centrais do nosso século.",economizar é amar o porvir,fonte a definir,,,,
"Nos campos de terra das periferias, o futebol de várzea revela talentos e realiza sonhos. Mais que esporte, é encontro de comunidade, lazer e esperança.","bola na várzea, sonho que alcança",fonte a definir,,,,
"Nos campos de terra das periferias, o futebol de várzea revela talentos e realiza sonhos. Mais que esporte, é encontro de comunidade, lazer e esperança.","pé descalço, gol no pedaço",fonte a definir,,,,
"Nos campos de terra das periferias, o futebol de várzea revela talentos e realiza sonhos. Mais que esporte, é encontro de comunidade, lazer e esperança.","peneira e fé, craque em pé",fonte a definir,,,,
"O hip-hop e o rap nasceram nas periferias e transformaram dor em poesia e denúncia. Assim como o cordel e o repente, são culturas da palavra rimada que dão voz a quem é pouco ouvido.","rima na quebrada, voz engajada",fonte a definir,,,,
"O hip-hop e o rap nasceram nas periferias e transformaram dor em poesia e denúncia. Assim como o cordel e o repente, são culturas da palavra rimada que dão voz a quem é pouco ouvido.","do cordel ao rap, a palavra é o mapa",fonte a definir,,,,
"O hip-hop e o rap nasceram nas periferias e transformaram dor em poesia e denúncia. Assim como o cordel e o repente, são culturas da palavra rimada que dão voz a quem é pouco ouvido.","microfone aberto, verso certo",fonte a definir,,,,
"O frevo e o maracatu, de Pernambuco, são patrimônios culturais brasileiros. No carnaval de rua, a festa vira também resistência, memória e celebração da cultura popular.","sombrinha no frevo, passo que elevo",fonte a definir,,,,
"O frevo e o maracatu, de Pernambuco, são patrimônios culturais brasileiros. No carnaval de rua, a festa vira também resistência, memória e celebração da cultura popular.","maracatu na rua, cultura é tua",fonte a definir,,,,
"O frevo e o maracatu, de Pernambuco, são patrimônios culturais brasileiros. No carnaval de rua, a festa vira também resistência, memória e celebração da cultura popular.","folia e raiz, povo feliz",fonte a definir,,,,
Atletas paralímpicos brasileiros estão entre os melhores do mundo. Suas histórias de superação inspiram o país e mostram que limites existem para serem desafiados.,"sem barreira, vitória verdadeira",fonte a definir,,,,
Atletas paralímpicos brasileiros estão entre os melhores do mundo. Suas histórias de superação inspiram o país e mostram que limites existem para serem desafiados.,"corpo e vontade, medalha de verdade",fonte a definir,,,,
Atletas paralímpicos brasileiros estão entre os melhores do mundo. Suas histórias de superação inspiram o país e mostram que limites existem para serem desafiados.,"limite vencido, atleta aplaudido",fonte a definir,,,,
"A escola pública é a maior porta de transformação social do Brasil. Valorizar professores, garantir acesso e qualidade é investir no futuro de toda a sociedade.","lápis e lousa, vida poderosa",fonte a definir,,,,
"A escola pública é a maior porta de transformação social do Brasil. Valorizar professores, garantir acesso e qualidade é investir no futuro de toda a sociedade.","professor planta, futuro que canta",fonte a definir,,,,
"A escola pública é a maior porta de transformação social do Brasil. Valorizar professores, garantir acesso e qualidade é investir no futuro de toda a sociedade.","estudo é a chave, porta que se abre",fonte a definir,,,,
"A democracia se sustenta na participação: votar, debater e fiscalizar são direitos e deveres de cada cidadã e cidadão. A voz do povo, expressa nas urnas, é o coração da república.","voto é a voz, decisão de nós",fonte a definir,,,,
"A democracia se sustenta na participação: votar, debater e fiscalizar são direitos e deveres de cada cidadã e cidadão. A voz do povo, expressa nas urnas, é o coração da república.","cidadão consciente, país diferente",fonte a definir,,,,
"A democracia se sustenta na participação: votar, debater e fiscalizar são direitos e deveres de cada cidadã e cidadão. A voz do povo, expressa nas urnas, é o coração da república.","participar é mudar, povo no lugar",fonte a definir,,,,
"Em um país plural, pessoas pensam diferente sobre política, e isso é saudável. Saber dialogar, escutar quem discorda e debater ideias sem ódio é o que mantém a democracia viva.","pensar diferente, conversar consciente",fonte a definir,,,,
"Em um país plural, pessoas pensam diferente sobre política, e isso é saudável. Saber dialogar, escutar quem discorda e debater ideias sem ódio é o que mantém a democracia viva.","escutar o contrário, sem virar adversário",fonte a definir,,,,
"Em um país plural, pessoas pensam diferente sobre política, e isso é saudável. Saber dialogar, escutar quem discorda e debater ideias sem ódio é o que mantém a democracia viva.","ideias em debate, ninguém se combate",fonte a definir,,,,
"Construir cultura de paz nas periferias é valorizar a arte, o esporte, a educação e a comunidade como caminhos contra a violência. A periferia é potência criativa, não apenas estatística.","paz na quebrada, vida respeitada",fonte a definir,,,,
"Construir cultura de paz nas periferias é valorizar a arte, o esporte, a educação e a comunidade como caminhos contra a violência. A periferia é potência criativa, não apenas estatística.","periferia é potência, arte e resistência",fonte a definir,,,,
"Construir cultura de paz nas periferias é valorizar a arte, o esporte, a educação e a comunidade como caminhos contra a violência. A periferia é potência criativa, não apenas estatística.","menos violência, mais convivência",fonte a definir,,,,
"O bullying machuca e marca. Cultivar respeito, empatia e amizade na escola é tarefa de todos (estudantes, famílias e educadores) para que cada pessoa se sinta segura para ser quem é.","respeito no recreio, amizade é o meio",fonte a definir,,,,
"O bullying machuca e marca. Cultivar respeito, empatia e amizade na escola é tarefa de todos (estudantes, famílias e educadores) para que cada pessoa se sinta segura para ser quem é.","empatia ensina, escola que ilumina",fonte a definir,,,,
"O bullying machuca e marca. Cultivar respeito, empatia e amizade na escola é tarefa de todos (estudantes, famílias e educadores) para que cada pessoa se sinta segura para ser quem é.","diferente é normal, ninguém é igual",fonte a definir,,,,
"Pessoas migram pelo mundo em busca de segurança e oportunidade. Acolher quem chega, com respeito e solidariedade, é um gesto de humanidade, e o Brasil é feito de muitos povos.","quem chega traz história, encontro é vitória",fonte a definir,,,,
"Pessoas migram pelo mundo em busca de segurança e oportunidade. Acolher quem chega, com respeito e solidariedade, é um gesto de humanidade, e o Brasil é feito de muitos povos.","fronteira aberta, mão que acerta",fonte a definir,,,,
"Pessoas migram pelo mundo em busca de segurança e oportunidade. Acolher quem chega, com respeito e solidariedade, é um gesto de humanidade, e o Brasil é feito de muitos povos.","acolher é humano, gesto soberano",fonte a definir,,,,
"Apesar de ser um grande produtor de alimentos, o Brasil ainda convive com a fome. Garantir comida na mesa de todos é questão de direito, justiça e dignidade.","prato cheio, direito por inteiro",fonte a definir,,,,
"Apesar de ser um grande produtor de alimentos, o Brasil ainda convive com a fome. Garantir comida na mesa de todos é questão de direito, justiça e dignidade.","colheita e partilha, o Brasil que brilha",fonte a definir,,,,
"Apesar de ser um grande produtor de alimentos, o Brasil ainda convive com a fome. Garantir comida na mesa de todos é questão de direito, justiça e dignidade.",fome não combina com nação que ensina,fonte a definir,,,,
